ko_id	pathway	Kegg_pathwayI	Kegg_pathwayII	Kegg_pathwayIII
ko00910	map00910	Metabolism	Energy metabolism	Nitrogen metabolism
ko00920	map00920	Metabolism	Energy metabolism	Sulfur metabolism
ko00061	map00061	Metabolism	Lipid metabolism	Fatty acid biosynthesis
ko00062	map00062	Metabolism	Lipid metabolism	Fatty acid elongation
ko00071	map00071	Metabolism	Lipid metabolism	Fatty acid degradation
ko00073	map00073	Metabolism	Lipid metabolism	"Cutin, suberine and wax biosynthesis"
ko00100	map00100	Metabolism	Lipid metabolism	Steroid biosynthesis
ko00120	map00120	Metabolism	Lipid metabolism	Primary bile acid biosynthesis
ko00121	map00121	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis
ko00140	map00140	Metabolism	Lipid metabolism	Steroid hormone biosynthesis
ko00561	map00561	Metabolism	Lipid metabolism	Glycerolipid metabolism
ko00564	map00564	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
ko00565	map00565	Metabolism	Lipid metabolism	Ether lipid metabolism
ko00600	map00600	Metabolism	Lipid metabolism	Sphingolipid metabolism
ko00590	map00590	Metabolism	Lipid metabolism	Arachidonic acid metabolism
ko00591	map00591	Metabolism	Lipid metabolism	Linoleic acid metabolism
ko00592	map00592	Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism
ko01040	map01040	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids
ko00230	map00230	Metabolism	Nucleotide metabolism	Purine metabolism
ko00240	map00240	Metabolism	Nucleotide metabolism	Pyrimidine metabolism
ko00250	map00250	Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"
ko00260	map00260	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"
ko00270	map00270	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism
ko00280	map00280	Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine degradation"
ko00290	map00290	Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine biosynthesis"
ko00300	map00300	Metabolism	Amino acid metabolism	Lysine biosynthesis
ko00310	map00310	Metabolism	Amino acid metabolism	Lysine degradation
ko00220	map00220	Metabolism	Amino acid metabolism	Arginine biosynthesis
ko00330	map00330	Metabolism	Amino acid metabolism	Arginine and proline metabolism
ko00340	map00340	Metabolism	Amino acid metabolism	Histidine metabolism
ko00350	map00350	Metabolism	Amino acid metabolism	Tyrosine metabolism
ko00360	map00360	Metabolism	Amino acid metabolism	Phenylalanine metabolism
ko00380	map00380	Metabolism	Amino acid metabolism	Tryptophan metabolism
ko00400	map00400	Metabolism	Amino acid metabolism	"Phenylalanine, tyrosine and tryptophan biosynthesis"
ko00410	map00410	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism
ko00430	map00430	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism
ko00440	map00440	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism
ko00450	map00450	Metabolism	Metabolism of other amino acids	Selenocompound metabolism
ko00460	map00460	Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism
ko00470	map00470	Metabolism	Metabolism of other amino acids	D-Amino acid metabolism
ko00480	map00480	Metabolism	Metabolism of other amino acids	Glutathione metabolism
ko00510	map00510	Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis
ko00513	map00513	Metabolism	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis
ko00512	map00512	Metabolism	Glycan biosynthesis and metabolism	Mucin type O-glycan biosynthesis
ko00515	map00515	Metabolism	Glycan biosynthesis and metabolism	Mannose type O-glycan biosynthesis
ko00514	map00514	Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis
ko00532	map00532	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
ko00534	map00534	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
ko00533	map00533	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate
ko00531	map00531	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation
ko00563	map00563	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ko00601	map00601	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	map00603	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series
ko00604	map00604	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series
ko00511	map00511	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation
ko00540	map00540	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis
ko00542	map00542	Metabolism	Glycan biosynthesis and metabolism	O-Antigen repeat unit biosynthesis
ko00541	map00541	Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis
ko00550	map00550	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis
ko00552	map00552	Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis
ko00571	map00571	Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis
ko00572	map00572	Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium
ko00543	map00543	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis
ko00730	map00730	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism
ko00740	map00740	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism
ko00750	map00750	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism
ko00760	map00760	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism
ko00770	map00770	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis
ko00780	map00780	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism
ko00785	map00785	Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism
ko00790	map00790	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis
ko00670	map00670	Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate
ko00830	map00830	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism
ko00860	map00860	Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism
ko00130	map00130	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
ko00900	map00900	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis
ko00902	map00902	Metabolism	Metabolism of terpenoids and polyketides	Monoterpenoid biosynthesis
ko00909	map00909	Metabolism	Metabolism of terpenoids and polyketides	Sesquiterpenoid and triterpenoid biosynthesis
ko00904	map00904	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid biosynthesis
ko00906	map00906	Metabolism	Metabolism of terpenoids and polyketides	Carotenoid biosynthesis
ko00905	map00905	Metabolism	Metabolism of terpenoids and polyketides	Brassinosteroid biosynthesis
ko00981	map00981	Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis
ko00908	map00908	Metabolism	Metabolism of terpenoids and polyketides	Zeatin biosynthesis
ko00903	map00903	Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation
ko00281	map00281	Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation
ko01052	map01052	Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures
ko00522	map00522	Metabolism	Metabolism of terpenoids and polyketides	"Biosynthesis of 12-, 14- and 16-membered macrolides"
ko01051	map01051	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of ansamycins
ko01059	map01059	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics
ko01056	map01056	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone
ko01057	map01057	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products
ko00253	map00253	Metabolism	Metabolism of terpenoids and polyketides	Tetracycline biosynthesis
ko00523	map00523	Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis
ko01054	map01054	Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures
ko01053	map01053	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides
ko01055	map01055	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics
ko00940	map00940	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
ko00945	map00945	Metabolism	Biosynthesis of other secondary metabolites	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
ko00941	map00941	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
ko00944	map00944	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
ko00942	map00942	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
ko00943	map00943	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
ko00946	map00946	Metabolism	Biosynthesis of other secondary metabolites	Degradation of flavonoids
ko00901	map00901	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
ko00403	map00403	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
ko00950	map00950	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
ko00960	map00960	Metabolism	Biosynthesis of other secondary metabolites	"Tropane, piperidine and pyridine alkaloid biosynthesis"
ko00996	map00996	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various alkaloids
ko00232	map00232	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
ko00965	map00965	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
ko00966	map00966	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
ko00402	map00402	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
ko00311	map00311	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
ko00332	map00332	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
ko00261	map00261	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
ko00331	map00331	Metabolism	Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis
ko00521	map00521	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis
ko00524	map00524	Metabolism	Biosynthesis of other secondary metabolites	"Neomycin, kanamycin and gentamicin biosynthesis"
ko00525	map00525	Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis
ko00401	map00401	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis
ko00404	map00404	Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis
ko00405	map00405	Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis
ko00333	map00333	Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis
ko00254	map00254	Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis
ko00998	map00998	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various antibiotics
ko00999	map00999	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various plant secondary metabolites
ko00997	map00997	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various other secondary metabolites
ko00362	map00362	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation
ko00627	map00627	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation
ko00364	map00364	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation
ko00625	map00625	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation
ko00361	map00361	Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation
ko00623	map00623	Metabolism	Xenobiotics biodegradation and metabolism	Toluene degradation
ko00622	map00622	Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation
ko00633	map00633	Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation
ko00642	map00642	Metabolism	Xenobiotics biodegradation and metabolism	Ethylbenzene degradation
ko00643	map00643	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation
ko00791	map00791	Metabolism	Xenobiotics biodegradation and metabolism	Atrazine degradation
ko00930	map00930	Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation
ko00363	map00363	Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation
ko00621	map00621	Metabolism	Xenobiotics biodegradation and metabolism	Dioxin degradation
ko00626	map00626	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation
ko00624	map00624	Metabolism	Xenobiotics biodegradation and metabolism	Polycyclic aromatic hydrocarbon degradation
ko00365	map00365	Metabolism	Xenobiotics biodegradation and metabolism	Furfural degradation
ko00984	map00984	Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation
ko00980	map00980	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450
ko00982	map00982	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450
ko00983	map00983	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes
ko01010	map01010	Metabolism	Chemical structure transformation maps	Overview of biosynthetic pathways
ko01060	map01060	Metabolism	Chemical structure transformation maps	Biosynthesis of plant secondary metabolites
ko01061	map01061	Metabolism	Chemical structure transformation maps	Biosynthesis of phenylpropanoids
ko01062	map01062	Metabolism	Chemical structure transformation maps	Biosynthesis of terpenoids and steroids
ko01063	map01063	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from shikimate pathway
ko01064	map01064	Metabolism	Chemical structure transformation maps	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
ko01065	map01065	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from histidine and purine
ko01066	map01066	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from terpenoid and polyketide
ko01070	map01070	Metabolism	Chemical structure transformation maps	Biosynthesis of plant hormones
ko03020	map03020	Genetic Information Processing	Transcription	RNA polymerase
ko03022	map03022	Genetic Information Processing	Transcription	Basal transcription factors
ko03040	map03040	Genetic Information Processing	Transcription	Spliceosome
ko03010	map03010	Genetic Information Processing	Translation	Ribosome
ko00970	map00970	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis
ko03013	map03013	Genetic Information Processing	Translation	Nucleocytoplasmic transport
ko03015	map03015	Genetic Information Processing	Translation	mRNA surveillance pathway
ko03008	map03008	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes
ko03060	map03060	Genetic Information Processing	"Folding, sorting and degradation"	Protein export
ko04141	map04141	Genetic Information Processing	"Folding, sorting and degradation"	Protein processing in endoplasmic reticulum
ko04130	map04130	Genetic Information Processing	"Folding, sorting and degradation"	SNARE interactions in vesicular transport
ko04120	map04120	Genetic Information Processing	"Folding, sorting and degradation"	Ubiquitin mediated proteolysis
ko04122	map04122	Genetic Information Processing	"Folding, sorting and degradation"	Sulfur relay system
ko03050	map03050	Genetic Information Processing	"Folding, sorting and degradation"	Proteasome
ko03018	map03018	Genetic Information Processing	"Folding, sorting and degradation"	RNA degradation
ko03030	map03030	Genetic Information Processing	Replication and repair	DNA replication
ko03410	map03410	Genetic Information Processing	Replication and repair	Base excision repair
ko03420	map03420	Genetic Information Processing	Replication and repair	Nucleotide excision repair
ko03430	map03430	Genetic Information Processing	Replication and repair	Mismatch repair
ko03440	map03440	Genetic Information Processing	Replication and repair	Homologous recombination
ko03450	map03450	Genetic Information Processing	Replication and repair	Non-homologous end-joining
ko03460	map03460	Genetic Information Processing	Replication and repair	Fanconi anemia pathway
ko03230	map03230	Genetic Information Processing	Information processing in viruses	Viral genome structure
ko03240	map03240	Genetic Information Processing	Information processing in viruses	Viral replication
ko03260	map03260	Genetic Information Processing	Information processing in viruses	Virion - Human immunodeficiency virus
ko03262	map03262	Genetic Information Processing	Information processing in viruses	Virion - Coronavirus
ko03261	map03261	Genetic Information Processing	Information processing in viruses	Virion - Influenza A virus
ko03263	map03263	Genetic Information Processing	Information processing in viruses	Virion - Enterovirus
ko03264	map03264	Genetic Information Processing	Information processing in viruses	Virion - Flavivirus
ko03265	map03265	Genetic Information Processing	Information processing in viruses	Virion - Lyssavirus
ko03266	map03266	Genetic Information Processing	Information processing in viruses	Virion - Herpesvirus
ko03268	map03268	Genetic Information Processing	Information processing in viruses	Virion - Orthopoxvirus
ko03267	map03267	Genetic Information Processing	Information processing in viruses	Virion - Adenovirus
ko02010	map02010	Environmental Information Processing	Membrane transport	ABC transporters
ko02060	map02060	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)
ko03070	map03070	Environmental Information Processing	Membrane transport	Bacterial secretion system
ko02020	map02020	Environmental Information Processing	Signal transduction	Two-component system
ko04010	hsa04010	Environmental Information Processing	Signal transduction	MAPK signaling pathway
ko04013	dme04013	Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly
ko04016	ath04016	Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant
ko04011	sce04011	Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast
ko04012	hsa04012	Environmental Information Processing	Signal transduction	ErbB signaling pathway
ko04014	hsa04014	Environmental Information Processing	Signal transduction	Ras signaling pathway
ko04015	hsa04015	Environmental Information Processing	Signal transduction	Rap1 signaling pathway
ko04310	hsa04310	Environmental Information Processing	Signal transduction	Wnt signaling pathway
ko04330	hsa04330	Environmental Information Processing	Signal transduction	Notch signaling pathway
ko04340	hsa04340	Environmental Information Processing	Signal transduction	Hedgehog signaling pathway
ko04341	dme04341	Environmental Information Processing	Signal transduction	Hedgehog signaling pathway - fly
ko04350	hsa04350	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway
ko04390	hsa04390	Environmental Information Processing	Signal transduction	Hippo signaling pathway
ko04391	dme04391	Environmental Information Processing	Signal transduction	Hippo signaling pathway - fly
ko04392	hsa04392	Environmental Information Processing	Signal transduction	Hippo signaling pathway - multiple species
ko04370	hsa04370	Environmental Information Processing	Signal transduction	VEGF signaling pathway
ko04371	hsa04371	Environmental Information Processing	Signal transduction	Apelin signaling pathway
ko04630	hsa04630	Environmental Information Processing	Signal transduction	JAK-STAT signaling pathway
ko04064	hsa04064	Environmental Information Processing	Signal transduction	NF-kappa B signaling pathway
ko04668	hsa04668	Environmental Information Processing	Signal transduction	TNF signaling pathway
ko04066	hsa04066	Environmental Information Processing	Signal transduction	HIF-1 signaling pathway
ko04068	hsa04068	Environmental Information Processing	Signal transduction	FoxO signaling pathway
ko04020	hsa04020	Environmental Information Processing	Signal transduction	Calcium signaling pathway
ko04070	hsa04070	Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system
ko04072	hsa04072	Environmental Information Processing	Signal transduction	Phospholipase D signaling pathway
ko04071	hsa04071	Environmental Information Processing	Signal transduction	Sphingolipid signaling pathway
ko04024	hsa04024	Environmental Information Processing	Signal transduction	cAMP signaling pathway
ko04022	hsa04022	Environmental Information Processing	Signal transduction	cGMP-PKG signaling pathway
ko04151	hsa04151	Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway
ko04152	hsa04152	Environmental Information Processing	Signal transduction	AMPK signaling pathway
ko04150	hsa04150	Environmental Information Processing	Signal transduction	mTOR signaling pathway
ko04075	ath04075	Environmental Information Processing	Signal transduction	Plant hormone signal transduction
ko04080	hsa04080	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction
ko04060	hsa04060	Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction
ko04061	hsa04061	Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor
ko04512	hsa04512	Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction
ko04514	hsa04514	Environmental Information Processing	Signaling molecules and interaction	Cell adhesion molecules
ko04144	hsa04144	Cellular Processes	Transport and catabolism	Endocytosis
ko04145	hsa04145	Cellular Processes	Transport and catabolism	Phagosome
ko04142	hsa04142	Cellular Processes	Transport and catabolism	Lysosome
ko04146	hsa04146	Cellular Processes	Transport and catabolism	Peroxisome
ko04140	hsa04140	Cellular Processes	Transport and catabolism	Autophagy - animal
ko04138	sce04138	Cellular Processes	Transport and catabolism	Autophagy - yeast
ko04136	ath04136	Cellular Processes	Transport and catabolism	Autophagy - other
ko04137	hsa04137	Cellular Processes	Transport and catabolism	Mitophagy - animal
ko04139	sce04139	Cellular Processes	Transport and catabolism	Mitophagy - yeast
ko04110	hsa04110	Cellular Processes	Cell growth and death	Cell cycle
ko04111	sce04111	Cellular Processes	Cell growth and death	Cell cycle - yeast
ko04112	ccr04112	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter
ko04113	sce04113	Cellular Processes	Cell growth and death	Meiosis - yeast
ko04114	xla04114	Cellular Processes	Cell growth and death	Oocyte meiosis
ko04210	hsa04210	Cellular Processes	Cell growth and death	Apoptosis
ko04214	dme04214	Cellular Processes	Cell growth and death	Apoptosis - fly
ko04215	hsa04215	Cellular Processes	Cell growth and death	Apoptosis - multiple species
ko04216	hsa04216	Cellular Processes	Cell growth and death	Ferroptosis
ko04217	hsa04217	Cellular Processes	Cell growth and death	Necroptosis
ko04115	hsa04115	Cellular Processes	Cell growth and death	p53 signaling pathway
ko04218	hsa04218	Cellular Processes	Cell growth and death	Cellular senescence
ko04510	hsa04510	Cellular Processes	Cellular community - eukaryotes	Focal adhesion
ko04520	hsa04520	Cellular Processes	Cellular community - eukaryotes	Adherens junction
ko04530	hsa04530	Cellular Processes	Cellular community - eukaryotes	Tight junction
ko04540	hsa04540	Cellular Processes	Cellular community - eukaryotes	Gap junction
ko04550	hsa04550	Cellular Processes	Cellular community - prokaryotes	Signaling pathways regulating pluripotency of stem cells
ko02024	map02024	Cellular Processes	Cellular community - prokaryotes	Quorum sensing
ko05111	map05111	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae
ko02025	map02025	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa
ko02026	map02026	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli
ko02030	map02030	Cellular Processes	Cell motility	Bacterial chemotaxis
ko02040	map02040	Cellular Processes	Cell motility	Flagellar assembly
ko04810	hsa04810	Cellular Processes	Cell motility	Regulation of actin cytoskeleton
ko04640	hsa04640	Organismal Systems	Immune system	Hematopoietic cell lineage
ko04610	hsa04610	Organismal Systems	Immune system	Complement and coagulation cascades
ko04611	hsa04611	Organismal Systems	Immune system	Platelet activation
ko04613	hsa04613	Organismal Systems	Immune system	Neutrophil extracellular trap formation
ko04620	hsa04620	Organismal Systems	Immune system	Toll-like receptor signaling pathway
ko04624	dme04624	Organismal Systems	Immune system	Toll and Imd signaling pathway
ko04621	hsa04621	Organismal Systems	Immune system	NOD-like receptor signaling pathway
ko04622	hsa04622	Organismal Systems	Immune system	RIG-I-like receptor signaling pathway
ko04623	hsa04623	Organismal Systems	Immune system	Cytosolic DNA-sensing pathway
ko04625	hsa04625	Organismal Systems	Immune system	C-type lectin receptor signaling pathway
ko04650	hsa04650	Organismal Systems	Immune system	Natural killer cell mediated cytotoxicity
ko04612	hsa04612	Organismal Systems	Immune system	Antigen processing and presentation
ko04660	hsa04660	Organismal Systems	Immune system	T cell receptor signaling pathway
ko04658	hsa04658	Organismal Systems	Immune system	Th1 and Th2 cell differentiation
ko04659	hsa04659	Organismal Systems	Immune system	Th17 cell differentiation
ko04657	hsa04657	Organismal Systems	Immune system	IL-17 signaling pathway
ko04662	hsa04662	Organismal Systems	Immune system	B cell receptor signaling pathway
ko04664	hsa04664	Organismal Systems	Immune system	Fc epsilon RI signaling pathway
ko04666	hsa04666	Organismal Systems	Immune system	Fc gamma R-mediated phagocytosis
ko04670	hsa04670	Organismal Systems	Immune system	Leukocyte transendothelial migration
ko04672	hsa04672	Organismal Systems	Immune system	Intestinal immune network for IgA production
ko04062	hsa04062	Organismal Systems	Immune system	Chemokine signaling pathway
ko04911	hsa04911	Organismal Systems	Endocrine system	Insulin secretion
ko04910	hsa04910	Organismal Systems	Endocrine system	Insulin signaling pathway
ko04922	hsa04922	Organismal Systems	Endocrine system	Glucagon signaling pathway
ko04923	hsa04923	Organismal Systems	Endocrine system	Regulation of lipolysis in adipocytes
ko04920	hsa04920	Organismal Systems	Endocrine system	Adipocytokine signaling pathway
ko03320	hsa03320	Organismal Systems	Endocrine system	PPAR signaling pathway
ko04929	hsa04929	Organismal Systems	Endocrine system	GnRH secretion
ko04912	hsa04912	Organismal Systems	Endocrine system	GnRH signaling pathway
ko04913	hsa04913	Organismal Systems	Endocrine system	Ovarian steroidogenesis
ko04915	hsa04915	Organismal Systems	Endocrine system	Estrogen signaling pathway
ko04914	xla04914	Organismal Systems	Endocrine system	Progesterone-mediated oocyte maturation
ko04917	hsa04917	Organismal Systems	Endocrine system	Prolactin signaling pathway
ko04921	hsa04921	Organismal Systems	Endocrine system	Oxytocin signaling pathway
ko04926	hsa04926	Organismal Systems	Endocrine system	Relaxin signaling pathway
